Ted Ferguson,1
1987,8
1956,2
2016,901
2020,952
2012,237
1958,3
1943,3
1972,5
Marquell Manning,1
1988,18
2019,1026
2017,1030
1977,7
2014,352
1971,5
1984,12
2013,288
1982,17
2005,80
2000,37
1965,2
1962,3
1954,2
Charles Rocket,1
"December 15, 2020",1
1981,13
Peter Ferriero,1
1978,7
1974,7
2002,51
1959,1
Paul Sambo,1
2018,1145
2009,152
United States,1
1995,25
1964,2
Dr. Dre,1
1946,2
2006,95
Nick Kroll,1
1976,9
Imanol Arias,1
1942,2
1947,1
1967,5
1968,3
2004,64
"January 15, 2021",1
2011,185
1989,16
1992,23
1961,1
1966,1
2008,136
"January 13, 2021",1
1955,3
1999,39
1963,2
1994,21
1997,37
1973,10
1925,1
2007,88
Kristen Johnston,1
1996,24
"June 12, 2021",1
1983,11
Álvaro Cervantes,1
Nse Ikpe-Etim,1
1969,2
Jade Eshete,1
1980,11
1944,3
1960,4
2021,589
Francis Weddey,1
1986,13
1985,10
"August 13, 2020",1
1979,11
2015,559
1998,36
1993,28
2001,45
2010,193
1990,21
2003,61
1991,17
1945,4
1975,7
1970,2
